"filename", "language", "TypeScript", "CSS", "JSON", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\responsive.bootstrap5.css", "CSS", 0, -184, 0, 0, 0, 0, 0, 0, -2, -186
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\select.bootstrap5.css", "CSS", 0, -122, 0, 0, 0, 0, 0, 0, -3, -125
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\css\vendor\simplemde.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, -6, 0, -7
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\bootstrap.min.css", "CSS", 0, -2, 0, 0, 0, 0, 0, -5, 0, -7
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\buttons.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\colReorder.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\dataTables.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, -1, 0, -2
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\dataTables.dateTime.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\fixedColumns.bootstrap5.min.css", "CSS", 0, -36, 0, 0, 0, 0, 0, 0, -1, -37
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\fixedHeader.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\font-awesome.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\keyTable.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\searchBuilder.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\searchPanes.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\css\select.bootstrap5.min.css", "CSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\buttons.colVis.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\colReorder.bootstrap5.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -4, 0, -5
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\dataTables.dateTime.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\dataTables.fixeHeader.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\dataTables.fixedColumns.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\dataTables.keyTable.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\dataTables.searchBuilder.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\dataTables.searchPanes.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\dataTables.select.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\jszip.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -11, -1, -13
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\pdfmake.min.js", "JavaScript", 0, 0, 0, 0, -6, 0, 0, -32, 0, -38
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\searchBuilder.bootstrap5.js", "JavaScript", 0, 0, 0, 0, -51, 0, 0, -8, -10, -69
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\searchPanes.bootstrap5.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -3, 0, -4
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\datatable_custom\js\vfs_fonts.js", "JavaScript", 0, 0, 0, 0, -6, 0, 0, 0, 0, -6
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\fonts\Nunito-Bold.svg", "XML", 0, 0, 0, 0, 0, -5009, 0, 0, -1, -5010
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\fonts\Nunito-Light.svg", "XML", 0, 0, 0, 0, 0, -5431, 0, 0, -1, -5432
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\fonts\Nunito-Regular.svg", "XML", 0, 0, 0, 0, 0, -4996, 0, 0, -1, -4997
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\fonts\Nunito-SemiBold.svg", "XML", 0, 0, 0, 0, 0, -5001, 0, 0, -1, -5002
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\fonts\dripicons-v2.svg", "XML", 0, 0, 0, 0, 0, -209, 0, 0, -2, -211
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\fonts\unicons.svg", "XML", 0, 0, 0, 0, 0, -1080, 0, 0, -1068, -2148
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\awash_assets\awash_logo_003.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\bg-pattern-light.svg", "XML", 0, 0, 0, 0, 0, -9, 0, 0, 0, -9
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\email-campaign.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\features-1.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\features-2.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\file-searching.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\help-icon.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\mail_sent.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\maintenance.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\report.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\startman.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\images\startup.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\app.min.js", "JavaScript", 0, 0, 0, 0, -799, 0, 0, -5, -1, -805
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-area.js", "JavaScript", 0, 0, 0, 0, -794, 0, 0, 0, -1, -795
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-bar.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-bubble.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-candlestick.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-column.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-heatmap.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-line.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-mixed.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-pie.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-radar.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-radialbar.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-scatter.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\assets\template_assets\js\pages\demo.apex-sparklines.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
