"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\guards\auth.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\guards\auth.guard.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\guards\login\login-auth.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\guards\login\login-auth.guard.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 3, 2, 36
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\login\login.component.html", "HTML", 0, 172, 0, 0, 0, 0, 0, 41, 21, 234
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\login\login.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\login\login.component.ts", "TypeScript", 559, 0, 0, 0, 0, 0, 0, 48, 22, 629
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\multi-dropdown-subject\multi-dropdown-subject.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\multi-dropdown-subject\multi-dropdown-subject.component.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\multi-dropdown-subject\multi-dropdown-subject.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\multi-dropdown-subject\multi-dropdown-subject.component.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 12, 4, 46
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\signup.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\signup.component.html", "HTML", 0, 301, 0, 0, 0, 0, 0, 0, 18, 319
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\signup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\Auth\signup\signup.component.ts", "TypeScript", 279, 0, 0, 0, 0, 0, 0, 56, 12, 347
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\ErrorHandling\HttpErrorHandler\global-http-error-handler.interceptor.spec.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\ErrorHandling\HttpErrorHandler\global-http-error-handler.interceptor.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\ErrorHandling\custom-error-handler.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\ErrorHandling\custom-error-handler.service.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\component\recon-manual-fixed-asset\recon-manual-fixed-asset.component.css", "CSS", 0, 0, 110, 0, 0, 0, 0, 21, 4, 135
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\component\recon-manual-fixed-asset\recon-manual-fixed-asset.component.html", "HTML", 0, 223, 0, 0, 0, 0, 0, 3, 35, 261
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\component\recon-manual-fixed-asset\recon-manual-fixed-asset.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\component\recon-manual-fixed-asset\recon-manual-fixed-asset.component.ts", "TypeScript", 2217, 0, 0, 0, 0, 0, 0, 29, 83, 2329
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\models\raw-fixed-core.spec.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\models\raw-fixed-core.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\models\raw-fixed-mms.spec.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\models\raw-fixed-mms.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\service\recon-manual-fixed-asset.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\Abebayehu\service\recon-manual-fixed-asset.service.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 2, 14, 75
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\recon-tabs\recon-tabs.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\recon-tabs\recon-tabs.component.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 2, 3, 32
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\recon-tabs\recon-tabs.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\recon-tabs\recon-tabs.component.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\view-transaction-tabs\view-transaction-tabs.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\view-transaction-tabs\view-transaction-tabs.component.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\view-transaction-tabs\view-transaction-tabs.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\Fire and Ice\Documents\GitHub\frontend2\src\app\FixedAsset\components\view-transaction-tabs\view-transaction-tabs.component.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 12, 49
